"Question Text","Question Type","Option 1","Option 2","Option 3","Option 4","Option 5","Correct Answer","Time in seconds","Image Link"
"Which Python command is used to display an output on the screen?","Multiple Choice","input()","print()","int()","float()","","2","30",""
"What is an output in a program?","Multiple Choice","Information displayed by the computer","Information typed by the user","A named storage place","A type of calculation","","1","30",""
"What does input() do in Python?","Multiple Choice","Displays a message only","Stops the program forever","Asks the user to enter information","Converts text into a number","","3","30",""
"In this code, name = input(""What is your name? ""), what is name?","Multiple Choice","A variable","A string value","A comparison operator","An output message","","1","30",""
"What is a variable used for?","Multiple Choice","To store data in a program","To delete data from a program","To make all numbers decimals","To end a program","","1","30",""
"Which line correctly stores the text Alex in a variable called name?","Multiple Choice","name = Alex","name = ""Alex""","""Alex"" = name","input = ""Alex""","","2","30",""
"Which data type is used for whole numbers?","Multiple Choice","string","integer","float","comment","","2","30",""
"Which value is a float?","Multiple Choice","""hello""","12","7.5","score","","3","30",""
"What is a string?","Multiple Choice","A whole number","A decimal number","Text surrounded by speech marks","A maths operator","","3","30",""
"Why do we use int(input(...)) when asking for a number?","Multiple Choice","Because input() normally gives a string","Because int() displays text","Because input() cannot ask questions","Because int() creates a decimal number","","1","45",""
"If the user enters 10 and 20, what will this code display: num1 = input(""Enter a number: ""); num2 = input(""Enter another number: ""); print(num1 + num2)","Multiple Choice","30","1020","10 + 20","An error every time","","2","45",""
"Which operator is used to multiply in Python?","Multiple Choice","x","*","+","/","","2","30",""
"What is the answer to 5 / 2 in Python?","Multiple Choice","2","2.5","3","10","","2","30",""
"Which line correctly converts a ticket price into a decimal number?","Multiple Choice","price = int(input(""Price: ""))","price = float(input(""Price: ""))","price = str(input(""Price: ""))","price = input(float(""Price: ""))","","2","45",""
"What does a comment start with in Python?","Multiple Choice","//","#","/*","--","","2","30",""
"What is selection?","Multiple Choice","When a program stores text","When a program makes a decision","When a program prints many lines","When a program converts a number","","2","30",""
"Which keyword runs code when an if condition is false?","Multiple Choice","input","else","print","int","","2","30",""
"Which comparison operator means equal to?","Multiple Choice","=","==","!=","=>","","2","30",""
"What will display if score is 62 in this code: if score >= 50: print(""YOU PASSED!!"") else: print(""YOU FAILED!!"")","Multiple Choice","YOU PASSED!!","YOU FAILED!!","score >= 50","Nothing","","1","45",""
"Why is indentation important in if and else statements?","Multiple Choice","It shows which code belongs inside the decision","It turns strings into integers","It makes the program run faster","It changes input() into print()","","1","45",""
"A cinema ticket costs 8. If age is 12 and child tickets are half price, what price should be displayed?","Multiple Choice","8.0","4.0","16.0","12.0","","2","45",""
"For the condition age < 16, which age would make the condition true?","Multiple Choice","16","18","12","20","","3","30",""
"Which code correctly checks if a password is python?","Multiple Choice","if password = ""python"":","if password == ""python"":","if password equals ""python"":","if password != ""python"":","","2","45",""
"Which test value should be used to check the else part of this decision: if age >= 15?","Multiple Choice","15","16","20","12","","4","45",""
"Which line correctly asks for a user's favourite game and stores it in a variable?","Multiple Choice","favourite_game = input(""What is your favourite game? "")","input = favourite_game(""What is your favourite game? "")","print(""What is your favourite game? "")","favourite_game == input(""What is your favourite game? "")","","1","45",""
"What will this code display: name = ""Sam""; print(name)","Multiple Choice","name","Sam","""name""","Nothing","","2","30",""
"Which variable name is the clearest for storing a player's score?","Multiple Choice","x","thing","player_score","input","","3","30",""
"Which line contains a common mistake?","Multiple Choice","print(""Hello"")","name = input(""Name: "")","print(name)","print(""Hello)","","4","30",""
"What is the value of total after this code runs: total = 7 + 3 * 2","Multiple Choice","20","13","17","10","","2","45",""
"Which operator is used to subtract in Python?","Multiple Choice","-","+","*","/","","1","30",""
"Which operator is used to divide in Python?","Multiple Choice","-","+","*","/","","4","30",""
"Which line correctly converts the user's age into an integer?","Multiple Choice","age = input(int(""Age: ""))","age = int(input(""Age: ""))","age = float(""Age: "")","int = input(""Age: "")","","2","45",""
"What will this code display if length is 5 and width is 4: area = length * width; print(area)","Multiple Choice","9","20","54","1","","2","45",""
"Which comparison operator means not equal to?","Multiple Choice","==","!=","<=",">=","","2","30",""
"Which condition checks if temperature is below zero?","Multiple Choice","temperature < 0","temperature > 0","temperature == 0","temperature != 0","","1","30",""
"What punctuation is needed at the end of an if line?","Multiple Choice","Comma","Full stop","Colon","Speech mark","","3","30",""
"In Python, which lines should be indented?","Multiple Choice","The code that belongs inside the if or else","Every line in the whole program","Only input lines","Only variable lines","","1","45",""
"If basket_total is 30, what happens with this decision: if basket_total >= 25: delivery = 0 else: delivery = 3.99","Multiple Choice","delivery becomes 0","delivery becomes 3.99","basket_total becomes 25","The program must stop","","1","45",""
"A discount is calculated with discount = price * 0.20. If price is 10, what is discount?","Multiple Choice","0.2","2.0","8.0","20.0","","2","45",""
"Which program skill is being used when code chooses between YOU PASSED!! and YOU FAILED!!?","Multiple Choice","Output only","Arithmetic only","Selection","Commenting","","3","30",""
